ncbi_gene_id,ensembl_gene_id,hgnc_symbol,gene_name,ucsc_id,alias
1,ENSG00000121410,A1BG,A1BG,uc061drj.1,A1B
2,ENSG00000175899,A2M,A2M,uc058kzm.1,A2MD
3,ENSG00000291190,,A2MP1,uc286ifr.1,A2MP
9,ENSG00000171428,NAT1,NAT1,uc064kqq.1,AAC1
10,ENSG00000156006,NAT2,NAT2,uc003wyw.3,AAC2
12,ENSG00000196136,SERPINA3,SERPINA3,uc010avf.2,AACT
13,ENSG00000114771,AADAC,AADAC,uc062pch.1,CES5A1
14,ENSG00000127837,AAMP,AAMP,uc002vhk.5,AAMP
15,ENSG00000129673,AANAT,AANAT,uc021udg.1,DSPS
16,ENSG00000090861,AARS1,AARS1,uc288pcs.1,AARS
18,ENSG00000183044,ABAT,ABAT,uc059qol.1,GABA-AT
19,ENSG00000165029,ABCA1,ABCA1,uc004bcl.5,ABC-1
20,ENSG00000107331,ABCA2,ABCA2,uc064xhf.2,ABC2
21,ENSG00000167972,ABCA3,ABCA3,uc002cpy.3,ABC-C
22,ENSG00000131269,ABCB7,ABCB7,uc004eca.6,ABC7
23,ENSG00000204574,ABCF1,ABCF1,uc003nqm.4,ABC27
24,ENSG00000198691,ABCA4,ABCA4,uc001dqh.5,ABC10
25,ENSG00000097007,ABL1,ABL1,uc004bzv.7,ABL
26,ENSG00000002726,AOC1,AOC1,uc064jer.1,ABP
27,ENSG00000143322,ABL2,ABL2,uc001gmg.6,ABLL
28,ENSG00000281879,ABO,ABO,,A3GALNT
29,ENSG00000278741,ABR,ABR,,MDB
30,ENSG00000060971,ACAA1,ACAA1,uc062ifa.1,ACAA
31,ENSG00000278540,ACACA,ACACA,uc032fee.3,ACAC
32,ENSG00000076555,ACACB,ACACB,uc001tob.5,ACACbeta
33,ENSG00000115361,ACADL,ACADL,uc287jau.1,ACAD4
34,ENSG00000117054,ACADM,ACADM,uc057hrj.2,ACAD1
35,ENSG00000122971,ACADS,ACADS,uc058udz.1,ACAD3
36,ENSG00000196177,ACADSB,ACADSB,uc010qub.3,2-MEBCAD
37,ENSG00000072778,ACADVL,ACADVL,uc010vtp.4,ACAD6
38,ENSG00000075239,ACAT1,ACAT1,uc288lld.1,ACAT
39,ENSG00000120437,ACAT2,ACAT2,uc010kjy.5,ACAT2
40,ENSG00000108684,ASIC2,ASIC2,uc002hht.5,ACCN
41,ENSG00000110881,ASIC1,ASIC1,uc001rvv.5,ACCN2
43,ENSG00000087085,ACHE,ACHE,uc003uxh.5,ACEE
47,ENSG00000131473,ACLY,ACLY,uc060fek.1,ACL
48,ENSG00000122729,ACO1,ACO1,uc033coh.2,ACONS
49,ENSG00000291368,ACR,ACR,,SPGF87
50,ENSG00000100412,ACO2,ACO2,uc288qsm.1,ACONM
51,ENSG00000161533,ACOX1,ACOX1,uc002jqe.6,ACOX
52,ENSG00000143727,ACP1,ACP1,uc061fye.1,HAAP
53,ENSG00000134575,ACP2,ACP2,uc288lhr.1,LAP
54,ENSG00000102575,ACP5,ACP5,uc060tuu.3,HPAP
55,ENSG00000014257,ACP3,ACP3,uc062nws.1,5'-NT
56,ENSG00000134940,ACRV1,ACRV1,uc001qcs.5,D11S4365
58,ENSG00000143632,ACTA1,ACTA1,uc289hef.1,ACTA
59,ENSG00000107796,ACTA2,ACTA2,uc001kfp.4,ACTSA
60,ENSG00000075624,ACTB,ACTB,uc288nsp.1,BKRNS
70,ENSG00000159251,ACTC1,ACTC1,uc059hit.2,ACTC
71,ENSG00000291420,ACTG1,ACTG1,,ACT
72,ENSG00000163017,ACTG2,ACTG2,uc061kro.1,ACT
81,ENSG00000282844,ACTN4,ACTN4,,ACTININ-4
86,ENSG00000136518,ACTL6A,ACTL6A,uc003fjx.4,ACTL6
87,ENSG00000072110,ACTN1,ACTN1,uc001xkl.4,BDPLT15
88,ENSG00000077522,ACTN2,ACTN2,uc287gzl.1,CMD1AA
89,ENSG00000248746,ACTN3,ACTN3,uc031xsh.2,ACTN3D
90,ENSG00000115170,ACVR1,ACVR1,uc289del.1,ACTRI
91,ENSG00000135503,ACVR1B,ACVR1B,uc001rzn.5,ACTRIB
92,ENSG00000121989,ACVR2A,ACVR2A,uc061olx.1,ACTRII
93,ENSG00000114739,ACVR2B,ACVR2B,uc003cif.5,ACTRIIB
94,ENSG00000139567,ACVRL1,ACVRL1,uc058oeo.2,ACVRLK1
95,ENSG00000243989,ACY1,ACY1,uc062kjn.2,ACY-1
97,ENSG00000119640,ACYP1,ACYP1,uc059dmk.1,ACYPE
98,ENSG00000170634,ACYP2,ACYP2,uc061jds.1,ACYM
100,ENSG00000196839,ADA,ADA,uc315ycm.1,ADA1
101,ENSG00000151651,ADAM8,ADAM8,uc009ybi.4,CD156
102,ENSG00000137845,ADAM10,ADAM10,uc002afd.4,AD10
103,ENSG00000160710,ADAR,ADAR,uc285hax.2,ADAR1
104,ENSG00000197381,ADARB1,ADARB1,uc062avd.1,ADAR2
105,ENSG00000185736,ADARB2,ADARB2,uc009xhq.5,ADAR3
107,ENSG00000164742,ADCY1,ADCY1,uc003tnd.3,AC1
108,ENSG00000078295,ADCY2,ADCY2,uc003jdz.3,AC2
109,ENSG00000138031,ADCY3,ADCY3,uc002rfs.5,AC-III
111,ENSG00000173175,ADCY5,ADCY5,uc003egh.4,AC5
112,ENSG00000174233,ADCY6,ADCY6,uc058nik.1,AC6
113,ENSG00000121281,ADCY7,ADCY7,uc059uac.1,AC7
114,ENSG00000155897,ADCY8,ADCY8,uc003ytd.6,AC8
115,ENSG00000162104,ADCY9,ADCY9,uc059qcb.1,AC9
116,ENSG00000141433,ADCYAP1,ADCYAP1,uc010dkg.5,PACAP
117,ENSG00000078549,ADCYAP1R1,ADCYAP1R1,uc003tca.4,PAC1
118,ENSG00000087274,ADD1,ADD1,uc289fdl.1,ADDA
119,ENSG00000075340,ADD2,ADD2,uc061kjo.1,ADDB
120,ENSG00000148700,ADD3,ADD3,uc057vxn.1,ADDL
123,ENSG00000147872,PLIN2,PLIN2,uc064shh.1,ADFP
124,ENSG00000187758,ADH1A,ADH1A,uc003hur.4,ADH1
125,ENSG00000196616,ADH1B,ADH1B,uc003hus.7,ADH2
126,ENSG00000248144,ADH1C,ADH1C,uc032trd.3,ADH3
127,ENSG00000198099,ADH4,ADH4,uc011ced.3,ADH-2
128,ENSG00000197894,ADH5,ADH5,uc003hui.7,ADH-3
130,ENSG00000172955,ADH6,ADH6,uc010ile.4,ADH-5
131,ENSG00000196344,ADH7,ADH7,uc003huv.2,ADH4
132,ENSG00000156110,ADK,ADK,uc288lni.1,AK
133,ENSG00000148926,ADM,ADM,uc057yzl.1,AM
134,ENSG00000163485,ADORA1,ADORA1,uc057onx.1,RDC7
135,ENSG00000128271,ADORA2A,ADORA2A,uc062cjk.1,A2aR
136,ENSG00000170425,ADORA2B,ADORA2B,uc002gpd.3,ADORA2
140,ENSG00000282608,ADORA3,ADORA3,uc001ebh.6,A3AR
141,ENSG00000144843,ADPRH,ADPRH,uc062mux.1,ARH1
142,ENSG00000143799,PARP1,PARP1,uc288rje.1,ADPRT
143,ENSG00000102699,PARP4,PARP4,uc001upl.5,ADPRTL1
146,ENSG00000171873,ADRA1D,ADRA1D,uc002wkr.4,ADRA1
