"Sample_ID","Pseudotime","State","Cluster","Tissue_Type"
"TCGA-44-6775-01C",0,"1","NA","Tumor"
"TCGA-44-6147-01B",0.226998615928431,"1","NA","Tumor"
"TCGA-44-6146-01B",1.23642193210448,"1","NA","Tumor"
"TCGA-44-5645-01B",1.37789804332742,"1","NA","Tumor"
"TCGA-44-2656-01B",2.33812564894505,"1","NA","Tumor"
"TCGA-44-2665-01B",2.71936453771988,"1","NA","Tumor"
"TCGA-44-3918-01B",3.69120242822318,"1","NA","Tumor"
"TCGA-44-4112-01B",3.78461229538497,"1","NA","Tumor"
"TCGA-44-3917-01B",4.21879823997092,"1","NA","Tumor"
"TCGA-44-2666-01B",5.90697892534805,"1","NA","Tumor"
"TCGA-55-7815-01A",8.44804150082427,"1","NA","Tumor"
"TCGA-55-7724-01A",10.6735996954518,"1","NA","Tumor"
"TCGA-55-7727-01A",11.7531093728897,"1","NA","Tumor"
"TCGA-55-7725-01A",11.7755855716524,"1","NA","Tumor"
"TCGA-44-3917-01A",12.2950510661685,"1","NA","Tumor"
"TCGA-44-3918-01A",12.6576762707746,"1","NA","Tumor"
"TCGA-44-2656-01A",12.8565724798607,"1","NA","Tumor"
"TCGA-78-7155-01A",13.2097175588481,"1","NA","Tumor"
"TCGA-44-2665-01A",13.2599572433787,"1","NA","Tumor"
"TCGA-55-7726-01A",13.7591922818794,"1","NA","Tumor"
"TCGA-62-A46O-01A",14.1253523920488,"1","NA","Tumor"
"TCGA-05-4427-01A",14.2953475725229,"1","NA","Tumor"
"TCGA-86-7701-01A",14.602877519485,"1","NA","Tumor"
"TCGA-44-7669-01A",14.607367131895,"1","NA","Tumor"
"TCGA-44-4112-01A",14.6395330489513,"1","NA","Tumor"
"TCGA-55-A4DF-01A",14.9181178045629,"1","NA","Tumor"
"TCGA-91-6829-01A",15.6116944036727,"1","NA","Tumor"
"TCGA-53-7813-01A",15.9692375779559,"1","NA","Tumor"
"TCGA-64-5779-01A",16.4221206275208,"1","NA","Tumor"
