Rank,Feature_Index,Feature_Name,ManiFeSt_Score
1,335,hsa05217,0.928021080562577
2,40,hsa00512,0.8425102567822441
3,354,hsa05332,0.6718547521044957
4,275,hsa04978,0.6495515319639665
5,42,hsa00514,0.6176588877594608
6,103,hsa03018,0.6170046005887857
7,258,hsa04934,0.5829375641290966
8,359,hsa05415,0.5713430343783028
9,240,hsa04916,0.5546903619305422
10,204,hsa04657,0.5116666981895986
11,98,hsa02010,0.5024088115058278
12,353,hsa05330,0.5014451204003052
13,193,hsa04612,0.47101075747256943
14,195,hsa04614,0.43171130873356356
15,127,hsa03460,0.4127467714100906
16,66,hsa00650,0.40893019207222153
17,57,hsa00591,0.4029010321991407
18,322,hsa05203,0.39197864907227037
19,1,hsa00020,0.39033085000843104
20,206,hsa04659,0.3819964104937703
21,252,hsa04928,0.37941062566641337
22,126,hsa03450,0.3752859141509099
23,247,hsa04923,0.3732549972481196
24,350,hsa05321,0.37066640816775254
25,182,hsa04390,0.3700347693511566
26,214,hsa04710,0.3684218765485731
27,357,hsa05412,0.3683548403576875
28,232,hsa04814,0.367202579179569
29,41,hsa00513,0.360423242527108
30,266,hsa04964,0.35992892185312203
