drug_id,drug_name,gene_id,gene_symbol,pathway_id,pathway_name
D00491,Paclitaxel,0_TUBB,TUBB,hsa04145,Phagosome
D00491,Paclitaxel,0_TUBB,TUBB,hsa05132,Salmonella infection
D00491,Paclitaxel,0_TUBB,TUBB,hsa01100,Metabolic pathways
D01155,Gemcitabine hydrochloride,6240,RRM1,hsa00240,Pyrimidine metabolism
D01935,Vinorelbine tartrate,0_TUBB,TUBB,hsa04145,Phagosome
D01935,Vinorelbine tartrate,0_TUBB,TUBB,hsa05132,Salmonella infection
D01935,Vinorelbine tartrate,0_TUBB,TUBB,hsa01100,Metabolic pathways
D01977,Gefitinib,1956,EGFR,hsa04010,MAPK signaling pathway
D01977,Gefitinib,1956,EGFR,hsa04020,Calcium signaling pathway
D01977,Gefitinib,1956,EGFR,hsa04151,PI3K-Akt signaling pathway
D01977,Gefitinib,1956,EGFR,hsa04510,Focal adhesion
D01977,Gefitinib,1956,EGFR,hsa04630,JAK-STAT signaling pathway
D01977,Gefitinib,1956,EGFR,hsa04912,GnRH signaling pathway
D01977,Gefitinib,1956,EGFR,hsa04928,"Parathyroid hormone synthesis, secretion and action"
D01977,Gefitinib,1956,EGFR,hsa04934,Cushing syndrome
D01977,Gefitinib,1956,EGFR,hsa05120,Epithelial cell signaling in Helicobacter pylori infection
D01977,Gefitinib,1956,EGFR,hsa05165,Human papillomavirus infection
D01977,Gefitinib,1956,EGFR,hsa05171,Coronavirus disease - COVID-19
D01977,Gefitinib,1956,EGFR,hsa05200,Pathways in cancer
D01977,Gefitinib,1956,EGFR,hsa05205,Proteoglycans in cancer
D01977,Gefitinib,1956,EGFR,hsa05215,Prostate cancer
D01977,Gefitinib,1956,EGFR,hsa05219,Bladder cancer
D01977,Gefitinib,1956,EGFR,hsa05224,Breast cancer
D01977,Gefitinib,1956,EGFR,hsa05225,Hepatocellular carcinoma
D01977,Gefitinib,1956,EGFR,hsa05226,Gastric cancer
D01977,Gefitinib,1956,EGFR,hsa05231,Choline metabolism in cancer
D01977,Gefitinib,1956,EGFR,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer
D02115,Methotrexate sodium,1719,DHFR,hsa01100,Metabolic pathways
D02165,Docetaxel,0_TUBB,TUBB,hsa04145,Phagosome
D02165,Docetaxel,0_TUBB,TUBB,hsa05132,Salmonella infection
D02165,Docetaxel,0_TUBB,TUBB,hsa01100,Metabolic pathways
D04023,Erlotinib hydrochloride,1956,EGFR,hsa04010,MAPK signaling pathway
D04023,Erlotinib hydrochloride,1956,EGFR,hsa04020,Calcium signaling pathway
D04023,Erlotinib hydrochloride,1956,EGFR,hsa04151,PI3K-Akt signaling pathway
D04023,Erlotinib hydrochloride,1956,EGFR,hsa04510,Focal adhesion
D04023,Erlotinib hydrochloride,1956,EGFR,hsa04630,JAK-STAT signaling pathway
D04023,Erlotinib hydrochloride,1956,EGFR,hsa04912,GnRH signaling pathway
D04023,Erlotinib hydrochloride,1956,EGFR,hsa04928,"Parathyroid hormone synthesis, secretion and action"
D04023,Erlotinib hydrochloride,1956,EGFR,hsa04934,Cushing syndrome
D04023,Erlotinib hydrochloride,1956,EGFR,hsa05120,Epithelial cell signaling in Helicobacter pylori infection
D04023,Erlotinib hydrochloride,1956,EGFR,hsa05165,Human papillomavirus infection
D04023,Erlotinib hydrochloride,1956,EGFR,hsa05171,Coronavirus disease - COVID-19
D04023,Erlotinib hydrochloride,1956,EGFR,hsa05200,Pathways in cancer
D04023,Erlotinib hydrochloride,1956,EGFR,hsa05205,Proteoglycans in cancer
D04023,Erlotinib hydrochloride,1956,EGFR,hsa05215,Prostate cancer
D04023,Erlotinib hydrochloride,1956,EGFR,hsa05219,Bladder cancer
D04023,Erlotinib hydrochloride,1956,EGFR,hsa05224,Breast cancer
D04023,Erlotinib hydrochloride,1956,EGFR,hsa05225,Hepatocellular carcinoma
